gender	traveltime	studytime	failures	activities	freetime	goout	health	absences	quiz1	quiz2	grade
M	1	1	2	yes	3	3	4	0	7	4	F
M	1	1	0	yes	5	5	4	8	18	18	A
F	2	3	2	no	2	2	5	0	12	0	F
F	3	1	0	yes	3	3	4	0	8	0	F
F	1	1	0	no	4	4	5	12	10	13	D
F	1	1	0	no	2	1	5	16	12	11	D
M	4	2	0	no	3	3	5	0	9	0	F
F	1	3	0	yes	3	3	5	0	11	0	F
M	3	2	0	no	4	5	5	0	10	0	F
F	2	1	2	yes	3	2	5	0	4	0	F
M	1	2	1	no	4	4	5	0	14	12	D
F	2	1	0	yes	3	2	5	0	16	16	B
M	2	4	0	no	2	2	3	0	7	9	F
M	2	1	2	yes	3	3	2	8	9	9	F
F	1	3	0	yes	2	2	5	2	9	11	D
F	1	1	0	no	4	4	1	2	14	14	C
M	1	1	3	no	4	5	5	0	5	0	F
F	1	2	0	no	4	2	5	0	8	11	D
F	1	2	3	no	3	2	3	0	6	7	F
F	1	2	0	no	3	2	5	2	10	11	D
M	1	1	0	no	3	2	5	0	7	6	F
M	4	1	3	no	5	5	5	0	8	9	D
M	1	1	3	no	3	5	4	0	6	5	F
M	1	1	1	yes	4	4	5	6	12	13	C
F	2	3	2	yes	2	1	3	8	10	10	D
M	1	1	3	no	5	4	4	0	5	0	F
F	1	1	0	no	2	1	4	0	11	11	D
M	1	2	0	yes	4	4	1	2	11	8	F
M	1	1	0	no	2	2	5	8	16	12	C
F	3	1	3	yes	2	5	4	6	9	8	D
M	3	1	0	no	2	2	3	2	17	15	B
M	1	2	1	no	5	5	5	4	10	12	D
M	2	1	2	yes	3	2	5	0	7	6	F
M	2	2	2	no	4	4	3	6	5	9	F
M	2	1	1	yes	4	4	5	0	7	0	F
M	1	1	0	no	3	3	2	2	10	10	D
M	4	2	3	yes	3	5	5	0	5	8	F
M	2	1	1	yes	5	2	2	16	12	11	D
M	1	2	0	no	3	5	4	4	10	10	D
F	1	2	0	no	2	3	3	0	14	15	B
F	1	2	0	no	1	5	4	0	6	7	F
F	1	2	0	no	4	2	3	0	14	14	C
M	3	1	2	yes	4	5	2	0	6	5	F
M	2	2	0	yes	3	2	3	2	13	15	B
M	1	2	0	yes	4	4	5	0	13	11	D
F	1	2	3	yes	3	5	3	0	8	7	F
F	2	2	0	yes	4	5	4	4	10	11	F
M	2	2	0	yes	4	4	4	4	10	9	F
F	2	2	0	yes	4	4	5	2	13	13	D
M	1	2	0	yes	3	4	4	4	6	5	F
M	1	1	0	yes	3	3	3	10	10	8	F
M	1	2	0	yes	2	3	2	4	10	10	D
M	1	2	0	yes	4	3	3	10	9	8	F
M	1	2	0	yes	2	3	3	2	12	13	D
F	1	2	0	yes	4	2	5	0	16	17	A
F	1	2	0	yes	3	3	1	56	9	9	F
F	1	2	0	no	2	2	1	14	12	13	D
M	1	2	0	yes	3	4	4	12	12	12	D
M	1	1	0	yes	3	3	3	2	11	12	D
M	1	2	0	yes	2	3	5	0	15	15	B
F	1	2	0	no	3	3	3	6	8	7	F
M	1	2	0	no	1	3	3	4	8	9	D
F	1	2	0	no	3	3	2	10	11	12	C
F	1	2	0	yes	3	3	3	0	8	8	F
M	2	2	0	yes	4	4	5	12	7	8	F
M	1	1	0	yes	3	2	5	8	8	9	D
M	2	1	0	no	3	3	3	0	13	14	C
F	1	2	0	yes	3	2	5	0	14	15	B
M	1	1	0	no	2	3	5	4	17	15	B
M	3	1	0	yes	3	4	3	8	9	9	D
F	2	1	1	no	2	4	2	24	18	18	A
F	1	2	0	no	5	2	3	0	9	9	D
F	1	2	0	yes	3	5	2	2	16	16	B
F	1	2	0	yes	4	3	4	6	8	10	D
F	1	2	0	no	4	4	1	4	9	9	D
F	1	1	0	no	3	2	3	18	7	6	F
F	2	4	0	yes	3	5	5	6	10	10	D
F	1	3	1	no	4	3	5	28	10	9	F
F	1	2	3	no	3	3	4	5	7	7	F
F	1	2	0	yes	3	2	1	10	11	12	C
F	2	1	0	no	3	2	5	6	9	9	D
F	2	3	0	yes	4	2	4	6	7	7	F
F	1	4	0	yes	3	3	3	10	8	8	F
M	1	2	0	no	3	5	3	13	12	12	C
F	1	2	0	no	3	4	4	0	12	13	C
M	1	2	1	yes	4	4	5	15	6	7	F
F	1	1	0	no	2	1	3	12	8	10	D
F	2	2	0	no	4	4	1	2	14	15	B
F	1	2	2	no	4	5	1	22	6	6	F
M	1	2	1	no	2	4	4	13	6	6	F
F	2	1	0	no	3	3	3	3	7	7	F
F	1	3	0	yes	3	3	4	4	9	10	D
F	2	2	0	yes	2	5	5	2	6	6	F
F	1	3	1	yes	3	4	5	0	6	5	F
F	1	2	0	no	3	1	3	2	16	16	A
M	2	2	0	no	3	3	4	0	12	13	C
F	1	3	0	yes	3	2	5	0	13	13	C
F	1	2	1	yes	3	3	4	16	9	8	F
F	1	2	0	yes	3	4	3	10	16	15	B
M	1	2	0	no	3	3	3	2	12	11	D
M	4	2	0	yes	3	2	3	14	10	8	F
F	2	3	0	yes	2	3	3	10	12	10	D
F	1	2	0	yes	2	3	3	14	13	13	C
M	2	2	0	yes	5	2	1	4	11	11	D
M	1	2	0	yes	5	5	2	14	11	9	F
M	1	2	0	yes	2	4	1	2	14	13	C
M	2	2	0	no	4	2	5	18	9	7	F
M	2	3	0	yes	3	3	2	10	11	9	D
M	1	2	0	yes	4	2	4	4	14	13	C
F	1	1	0	no	5	2	5	20	13	12	D
F	3	2	0	yes	1	1	3	2	13	11	D
M	1	2	1	no	5	4	2	0	7	7	F
M	2	2	0	yes	5	5	5	14	12	12	D
M	2	2	0	no	3	3	4	2	10	11	D
M	1	1	0	yes	4	5	3	0	6	0	F
M	1	1	0	yes	3	2	5	0	13	12	D
F	2	3	0	no	4	4	3	0	7	0	F
M	3	1	0	no	3	3	4	6	18	18	A
M	2	1	0	no	2	2	2	4	12	12	C
M	1	1	3	no	4	5	1	16	6	8	F
M	1	2	1	no	3	3	5	8	3	5	F
M	1	1	0	no	3	2	5	0	13	15	B
M	2	1	1	no	4	5	5	0	6	8	F
M	3	2	0	no	3	3	2	6	7	10	D
M	1	1	1	no	2	5	5	4	6	9	F
M	2	1	0	yes	3	2	3	0	8	9	F
M	1	1	0	no	4	2	5	0	8	12	D
M	2	1	1	yes	4	4	5	2	7	9	F
F	1	4	0	yes	2	3	4	6	14	12	C
M	1	2	0	no	3	1	1	12	11	11	D
M	1	2	0	yes	2	4	4	8	15	14	C
F	1	4	0	yes	4	1	2	0	10	9	F
F	1	2	0	no	1	2	2	21	17	18	A
M	1	2	0	no	3	2	3	2	8	8	F
M	1	3	0	yes	3	2	3	1	13	12	D
F	1	3	0	yes	2	3	4	4	10	9	F
F	1	3	0	yes	3	3	3	0	9	10	F
M	2	2	0	yes	2	5	1	13	17	17	A
M	1	2	0	yes	4	4	5	2	9	9	D
F	2	2	0	yes	3	4	4	8	12	10	D
M	1	2	0	yes	4	5	5	10	10	9	D
F	2	2	0	no	3	5	3	0	6	0	F
F	1	2	2	yes	3	5	5	15	9	9	F
F	1	4	0	yes	5	5	2	4	15	14	C
F	2	2	0	no	4	3	3	2	11	11	D
M	1	2	0	yes	5	2	1	2	15	14	C
F	2	2	0	no	3	3	1	2	10	10	D
F	2	2	0	no	4	4	5	6	12	12	D
F	2	2	0	no	1	1	5	75	10	9	F
M	2	1	0	yes	2	4	3	22	9	9	F
F	1	2	1	yes	4	4	4	15	9	8	F
M	2	1	0	yes	2	3	1	8	10	11	D
M	2	1	0	yes	5	4	5	30	8	8	F
M	1	1	1	no	4	4	3	19	11	9	D
F	2	4	0	yes	2	2	3	1	12	12	D
F	2	2	0	yes	4	4	4	4	8	9	D
F	1	2	0	no	4	5	5	4	10	9	D
M	1	2	0	no	3	3	4	2	12	10	D
F	1	3	0	no	3	3	2	5	18	18	A
F	1	3	0	no	3	3	3	6	13	12	D
M	1	3	0	yes	2	4	2	6	15	14	C
M	1	2	0	yes	4	3	2	9	15	13	B
M	1	2	0	yes	3	2	5	11	12	11	D
F	1	3	0	no	2	2	3	0	15	15	B
F	1	2	1	no	4	3	5	12	12	12	C
F	2	4	0	no	1	2	3	6	18	18	A
M	2	3	0	yes	4	2	4	8	14	13	C
M	1	1	0	no	4	3	5	4	14	12	D
F	2	2	0	yes	3	4	2	0	10	9	F
F	2	2	0	no	4	5	2	10	10	8	F
F	1	4	0	no	3	3	3	0	14	13	C
M	1	1	0	no	4	2	1	5	16	15	B
F	1	2	0	no	2	4	4	14	12	10	D
M	2	1	0	no	1	1	5	0	11	11	D
F	2	3	0	no	3	3	3	0	15	12	C
F	1	4	0	yes	2	2	5	0	17	17	A
M	1	2	1	yes	4	4	3	20	15	14	C
F	1	2	1	yes	4	3	3	8	14	12	D
M	1	1	0	yes	5	3	5	0	17	18	A
M	2	1	1	no	3	4	4	38	8	9	F
M	1	2	1	yes	5	3	5	0	15	12	D
F	1	2	1	yes	4	3	3	18	12	10	D
F	1	2	1	yes	2	4	3	0	9	9	F
F	3	2	0	no	4	1	2	20	14	12	C
M	1	2	1	no	5	2	4	3	13	11	D
F	2	2	1	no	2	2	1	22	13	10	D
F	1	3	2	no	1	2	3	14	15	13	C
F	1	3	1	no	1	2	3	40	13	11	D
F	2	2	0	yes	3	3	1	0	8	8	F
F	1	3	0	yes	3	4	5	9	9	10	F
F	1	3	0	yes	3	4	5	0	11	11	D
F	1	2	0	no	4	4	5	2	11	11	D
F	1	2	0	no	2	2	5	23	13	13	C
F	1	2	0	no	2	2	3	12	11	9	F
F	1	3	0	yes	3	2	3	3	11	11	D
F	1	3	0	no	4	3	5	1	12	14	B
F	2	3	0	no	3	3	2	0	16	15	B
M	1	3	0	yes	3	3	3	3	9	12	D
M	1	1	0	yes	3	5	5	3	14	15	B
M	4	1	0	no	4	5	4	8	11	10	D
F	1	3	0	yes	4	4	4	7	10	9	F
F	2	3	0	no	3	3	4	4	14	14	C
M	1	4	0	yes	5	5	5	2	9	8	F
F	1	3	0	no	4	3	5	7	12	14	C
F	1	2	0	yes	3	4	4	0	7	0	F
F	1	2	0	yes	3	3	2	0	8	8	F
F	2	4	0	yes	4	4	4	0	10	9	F
F	1	3	0	no	4	5	5	16	16	15	B
F	1	3	1	no	4	3	5	12	14	13	C
F	1	2	0	no	3	2	2	0	7	8	F
F	1	4	0	no	3	3	1	7	16	15	A
F	1	2	0	no	3	3	2	4	9	10	D
F	1	3	1	yes	3	4	3	4	11	12	D
M	1	2	1	yes	3	3	2	0	10	10	F
M	1	2	0	yes	3	3	5	11	16	15	B
F	1	2	1	no	3	1	4	0	9	8	F
F	1	3	0	no	3	3	3	4	11	10	D
F	1	3	0	no	4	3	1	7	13	13	C
M	1	3	0	no	3	2	4	9	16	15	B
M	1	3	0	no	4	5	5	0	10	10	F
F	1	3	0	yes	4	3	4	0	13	15	B
M	2	1	1	no	5	5	5	10	11	13	C
M	3	2	3	no	4	4	2	8	8	7	F
M	2	2	0	no	5	4	3	2	13	13	C
M	1	1	1	no	3	3	3	7	8	7	F
M	3	1	1	no	4	4	5	4	8	8	F
M	2	2	0	yes	5	5	2	4	13	11	D
F	1	2	0	no	3	4	5	0	10	9	F
F	2	2	0	yes	3	3	5	4	12	13	C
F	2	2	0	no	2	3	5	2	12	12	D
M	2	1	0	no	3	2	3	4	10	10	D
F	2	3	0	no	3	2	4	0	18	16	B
F	3	2	0	no	3	4	5	0	13	13	C
M	2	2	1	yes	4	3	5	2	13	12	D
F	2	2	0	no	3	2	3	0	11	11	D
F	1	2	0	yes	3	4	1	0	16	15	B
F	2	2	0	no	2	2	3	0	12	11	D
M	2	2	0	no	3	4	3	4	10	10	D
M	2	3	0	no	2	2	5	0	13	13	C
F	3	1	1	no	2	1	1	0	7	6	F
F	2	1	0	no	2	3	4	0	11	10	D
F	3	2	0	no	2	2	5	10	14	12	D
F	2	2	2	yes	2	2	3	4	7	7	F
M	3	1	0	yes	3	3	3	3	14	12	D
F	1	3	0	yes	4	3	3	8	13	11	D
F	1	1	0	yes	5	5	1	14	6	5	F
F	2	3	0	no	4	4	1	0	19	18	A
F	4	3	0	no	3	2	4	2	8	8	D
F	2	3	2	no	4	3	3	4	15	14	B
F	1	2	0	yes	4	3	2	4	8	9	D
F	1	2	0	no	1	3	1	0	15	15	B
F	1	2	0	yes	5	4	1	17	10	10	D
M	1	2	0	yes	2	4	2	4	15	14	C
M	2	1	0	yes	4	3	5	5	7	6	F
M	2	2	0	yes	4	3	3	2	11	11	D
M	2	1	1	no	3	2	5	0	6	5	F
M	2	1	1	no	4	3	3	14	6	5	F
F	2	3	0	no	3	3	4	2	10	9	D
F	3	1	0	yes	4	3	5	7	6	5	F
F	1	3	1	yes	4	2	5	0	7	5	F
F	1	2	0	no	3	4	1	0	7	9	F
F	2	2	1	yes	1	1	5	0	6	5	F
M	1	2	2	no	5	4	4	11	9	9	F
M	2	1	0	no	4	5	2	3	14	16	B
M	1	1	3	no	5	3	3	3	10	8	F
M	3	1	0	no	4	1	5	0	11	12	D
M	1	1	0	no	2	3	5	5	8	9	F
F	2	2	0	no	3	4	3	4	0	11	D
F	1	2	0	no	3	3	3	2	9	11	D
F	1	2	0	no	3	2	3	6	12	13	D
F	1	3	0	yes	2	2	5	0	14	14	C
F	1	2	0	no	3	2	5	0	11	13	C
M	1	2	0	yes	4	2	5	6	12	12	C
M	1	2	0	no	4	4	3	0	13	12	C
F	2	2	0	no	1	4	1	2	10	13	C
M	1	2	0	no	2	2	1	0	15	16	A
M	1	2	0	yes	5	1	5	0	12	12	C
F	1	2	0	no	3	3	2	2	14	14	C
F	3	3	0	yes	2	2	4	0	10	12	C
M	1	1	0	yes	3	3	5	0	12	13	D
M	2	2	0	no	4	3	3	0	12	12	C
M	1	3	0	no	5	2	3	0	14	14	B
F	1	1	0	no	4	4	2	6	17	17	A
F	1	3	0	yes	2	3	2	10	13	13	C
F	3	2	0	yes	3	2	4	2	13	14	C
M	1	1	3	yes	5	5	5	2	8	8	F
M	1	1	0	yes	1	3	5	6	12	12	D
M	1	2	0	no	4	1	1	0	12	13	C
M	1	1	0	no	4	2	5	0	11	12	D
M	1	2	0	yes	5	1	5	0	12	13	C
M	2	2	0	yes	4	4	5	2	10	10	D
F	1	3	0	yes	3	2	5	2	10	11	D
F	1	1	0	no	2	2	5	6	10	11	D
M	1	1	0	no	2	2	5	8	11	12	D
M	1	1	0	no	2	4	1	0	11	11	D
M	1	2	0	yes	3	3	5	2	12	12	C
M	1	2	0	yes	4	5	5	4	12	11	D
M	1	2	0	no	4	2	5	0	10	11	D
M	2	2	0	yes	3	1	5	2	15	15	B
M	1	2	0	yes	5	2	5	0	13	14	B
M	1	2	0	yes	3	2	2	0	13	12	D
M	1	1	0	no	4	3	5	4	12	12	D
F	2	1	0	yes	5	1	5	4	11	11	D
M	1	3	0	yes	4	3	4	0	14	14	C
M	2	3	0	yes	4	3	5	4	13	13	C
F	1	3	0	yes	3	2	5	2	11	12	D
F	1	1	0	yes	3	1	2	8	14	13	D
F	2	2	0	yes	3	3	3	16	11	11	D
M	1	1	0	no	4	3	5	8	10	11	D
M	1	2	0	yes	3	3	5	0	14	15	B
M	1	1	0	no	4	1	1	0	9	10	D
F	2	2	1	yes	3	3	5	14	10	11	D
F	1	2	0	yes	2	2	5	4	10	11	D
F	1	2	0	no	3	5	3	6	13	12	C
M	1	4	0	yes	2	2	2	2	17	17	A
M	1	2	0	no	3	3	5	4	11	12	C
F	1	2	0	yes	4	4	3	2	13	12	D
F	3	2	0	no	3	3	4	0	14	13	C
F	1	2	0	no	3	3	5	0	16	14	B
M	2	1	0	no	5	5	5	4	10	9	F
F	1	1	0	no	3	4	5	0	13	12	D
F	1	1	0	no	3	4	1	0	13	12	C
F	1	2	0	yes	3	4	2	2	12	13	D
F	1	2	0	yes	3	2	1	0	15	14	B
M	1	2	0	yes	2	2	5	8	15	15	B
M	1	2	0	yes	3	2	5	0	14	13	C
F	1	2	0	no	2	3	5	2	16	15	B
F	1	2	0	yes	4	4	4	0	17	16	B
F	4	1	0	yes	5	5	5	0	10	10	B
F	1	2	0	yes	4	3	1	0	13	13	D
F	1	3	0	yes	4	4	4	0	14	13	C
F	1	2	0	yes	4	4	2	0	13	12	D
F	3	2	0	yes	4	3	1	2	16	15	B
M	1	4	0	yes	3	3	3	0	11	12	D
F	1	4	0	no	3	3	5	0	10	9	D
F	2	2	0	no	1	3	4	0	11	10	D
F	2	4	0	no	4	2	3	6	15	15	B
M	2	4	0	no	3	2	5	2	13	11	D
M	1	4	0	no	3	3	3	0	11	9	D
F	1	2	0	no	3	4	5	2	13	11	D
M	1	1	0	yes	3	2	5	0	13	13	C
F	1	2	0	yes	3	3	5	4	11	11	D
M	1	2	0	yes	3	3	5	0	11	11	D
M	2	4	0	yes	4	3	1	0	12	11	D
F	1	4	0	no	2	3	3	1	13	13	C
M	2	1	3	yes	5	1	3	0	9	9	D
F	1	2	0	no	4	3	3	14	12	11	D
M	1	1	0	yes	2	2	3	0	11	11	D
M	1	3	0	no	3	2	5	2	10	9	F
F	1	2	0	no	4	4	5	4	12	11	D
M	2	2	0	yes	3	3	4	2	13	12	C
F	1	2	0	yes	3	2	4	2	13	12	D
F	2	2	0	no	4	4	5	4	12	11	D
F	1	2	0	no	3	4	2	6	13	11	D
F	1	3	0	yes	3	3	1	4	15	15	B
M	2	2	0	yes	4	2	3	6	12	10	D
M	1	2	0	no	1	3	5	6	9	9	D
F	1	3	0	no	3	3	4	2	9	11	D
F	1	1	0	yes	5	5	1	6	14	13	C
F	1	2	0	no	3	3	2	0	12	13	D
F	2	2	0	yes	3	3	1	2	13	14	C
M	1	4	0	yes	3	4	4	2	11	12	D
F	2	4	0	yes	1	2	1	4	13	13	C
M	2	1	0	yes	3	3	4	6	9	11	D
F	1	2	0	no	3	5	5	0	13	12	D
F	1	1	0	yes	3	4	1	4	12	13	C
F	1	3	0	no	3	5	3	2	12	13	C
M	1	1	0	yes	5	5	4	12	9	9	F
M	1	3	0	yes	4	3	4	0	16	16	B
M	1	1	0	yes	3	3	5	2	12	13	D
F	2	2	0	no	3	5	2	16	11	10	D
M	1	2	0	yes	4	4	1	0	16	16	B
F	1	4	0	no	3	3	4	10	10	10	D
F	1	4	0	no	1	2	3	4	10	10	D
M	1	3	0	yes	3	3	5	4	13	14	C
M	4	4	0	yes	3	5	1	8	12	10	D
F	1	3	0	yes	4	5	4	2	15	15	C
M	1	1	0	yes	5	3	4	4	13	14	C
F	1	3	0	yes	1	2	2	4	11	11	D
F	1	2	1	yes	1	2	5	12	8	10	D
M	1	1	0	no	5	2	3	10	18	17	A
M	1	2	0	yes	4	2	5	4	10	9	D
M	1	2	0	yes	4	4	5	6	16	14	C
M	2	2	0	yes	4	3	2	4	16	15	B
M	2	1	0	yes	4	2	5	6	14	14	B
M	3	2	1	yes	2	4	5	14	12	11	D
M	1	1	0	no	4	3	4	2	14	13	C
F	1	2	0	no	2	3	1	0	14	14	C
M	1	4	0	yes	5	4	5	6	14	13	C
F	2	2	0	yes	2	2	5	2	14	12	C
M	1	1	0	yes	4	4	5	4	12	13	C
F	1	2	0	no	4	4	5	0	12	11	D
M	1	1	0	no	5	5	5	2	9	9	F
F	1	2	0	yes	3	2	1	0	10	11	D
F	1	2	2	no	4	2	5	0	9	10	D
M	1	1	0	yes	5	5	4	8	14	14	B
M	2	3	0	no	2	3	1	4	13	12	C
F	2	3	0	no	2	2	5	0	10	11	D
F	1	2	3	yes	4	5	5	10	10	9	F
F	3	1	0	no	2	2	5	8	11	10	D
F	3	1	0	yes	3	3	4	6	11	12	C
F	1	1	0	no	4	4	5	2	13	12	D
F	1	1	0	no	2	1	5	12	15	13	C
M	4	1	0	no	2	1	2	4	9	9	D
F	1	1	1	no	3	4	5	12	13	11	D
M	4	2	0	no	3	3	5	2	12	11	D
F	1	3	0	yes	3	3	5	4	13	14	B
M	3	2	0	no	4	5	5	2	10	9	D
F	4	2	0	no	1	3	3	0	14	13	C
M	2	1	0	yes	3	4	4	2	11	11	D
F	1	3	0	yes	3	3	5	10	12	11	D
F	2	1	0	yes	3	3	1	8	12	11	D
F	2	1	0	yes	3	2	5	4	9	9	D
M	1	2	2	no	4	4	5	0	10	10	D
F	2	1	0	yes	3	2	5	6	13	14	C
F	3	1	1	yes	5	5	1	2	8	9	F
M	2	4	0	no	2	2	3	6	9	11	D
F	1	2	0	no	3	2	1	24	9	8	F
M	1	3	0	yes	3	3	5	0	15	13	C
M	2	1	0	yes	3	3	2	4	12	11	D
F	1	3	0	yes	2	2	5	2	13	13	C
F	1	1	0	no	4	4	1	4	10	11	D
M	1	1	0	no	4	5	5	22	9	7	F
F	1	2	0	no	4	2	5	0	12	12	D
F	2	1	0	yes	4	2	5	0	11	10	D
F	1	2	1	no	3	2	3	2	11	11	D
F	1	2	0	no	3	2	5	6	13	12	C
F	1	2	0	no	3	4	1	6	11	11	D
M	1	1	0	no	3	2	5	16	9	9	F
M	4	1	0	no	5	5	5	0	12	11	D
M	1	1	2	no	3	5	4	0	11	9	F
M	1	1	1	yes	4	4	5	6	9	10	D
F	2	3	0	yes	2	1	3	2	13	13	C
M	1	1	0	no	5	4	4	6	11	9	D
F	1	1	0	no	2	1	4	0	13	13	C
M	1	2	0	yes	4	4	1	0	7	8	F
M	1	1	3	no	2	2	5	14	9	8	D
F	3	1	3	yes	2	5	4	6	11	10	D
M	3	1	0	no	2	2	3	4	12	10	D
